/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cpu
global_step=1856, episodic_return=[14.4696]
global_step=1868, episodic_return=[14.653272]
global_step=1882, episodic_return=[19.010086]
global_step=1898, episodic_return=[22.935717]
SPS: 271
global_step=1918, episodic_return=[30.947271]
global_step=1937, episodic_return=[28.71447]
global_step=1954, episodic_return=[24.85967]
global_step=1971, episodic_return=[25.147472]
global_step=1991, episodic_return=[30.79764]
SPS: 271
global_step=2012, episodic_return=[32.635963]
global_step=2034, episodic_return=[34.752464]
global_step=2058, episodic_return=[38.457443]
global_step=2086, episodic_return=[45.79597]
SPS: 271
global_step=2171, episodic_return=[175.18925]
SPS: 271
global_step=2256, episodic_return=[172.12163]
SPS: 271
global_step=2341, episodic_return=[167.72664]
SPS: 272
global_step=2419, episodic_return=[145.60835]
global_step=2465, episodic_return=[79.66934]
SPS: 272
global_step=2520, episodic_return=[96.45885]
global_step=2571, episodic_return=[88.700356]
SPS: 272
global_step=2637, episodic_return=[115.78279]
SPS: 272
global_step=2701, episodic_return=[112.17251]
global_step=2765, episodic_return=[113.63586]
SPS: 271
global_step=2830, episodic_return=[115.84339]
SPS: 272
global_step=2903, episodic_return=[130.9038]
global_step=2975, episodic_return=[129.1363]
SPS: 271
global_step=3056, episodic_return=[151.95651]
global_step=3089, episodic_return=[59.646614]
SPS: 271
global_step=3116, episodic_return=[48.297356]
global_step=3144, episodic_return=[50.380478]
SPS: 271
global_step=3230, episodic_return=[170.06372]
SPS: 271
global_step=3315, episodic_return=[168.47166]
SPS: 271
global_step=3401, episodic_return=[168.19264]
global_step=3487, episodic_return=[168.79314]
SPS: 271
global_step=3573, episodic_return=[167.44867]
SPS: 271
global_step=3659, episodic_return=[167.32678]
SPS: 271
global_step=3743, episodic_return=[163.16505]
global_step=3766, episodic_return=[40.980675]
SPS: 271
global_step=3852, episodic_return=[171.06622]
SPS: 271
global_step=3939, episodic_return=[193.21838]
SPS: 271
global_step=4025, episodic_return=[185.89401]
SPS: 271
global_step=4111, episodic_return=[187.31596]
global_step=4199, episodic_return=[193.62521]
SPS: 271
global_step=4284, episodic_return=[185.9241]
SPS: 271
global_step=4321, episodic_return=[66.53917]
SPS: 271
global_step=4406, episodic_return=[185.94398]
global_step=4446, episodic_return=[71.1428]
global_step=4484, episodic_return=[67.562355]
SPS: 271
global_step=4522, episodic_return=[67.90138]
global_step=4559, episodic_return=[65.90898]
global_step=4594, episodic_return=[63.747482]
SPS: 271
global_step=4630, episodic_return=[63.85898]
global_step=4666, episodic_return=[65.03365]
SPS: 271
global_step=4703, episodic_return=[67.0716]
global_step=4736, episodic_return=[59.94856]
global_step=4766, episodic_return=[54.640778]
SPS: 270
global_step=4852, episodic_return=[170.21027]
SPS: 270
global_step=4938, episodic_return=[165.55344]
SPS: 270
global_step=5025, episodic_return=[169.68332]
SPS: 270
