libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card4: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card3: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card2: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card1: Permission denied

/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cuda
global_step=2547, episodic_return=[9.909261]
global_step=2576, episodic_return=[9.18485]
global_step=2595, episodic_return=[15.185647]
global_step=2610, episodic_return=[10.779634]
global_step=2624, episodic_return=[11.897852]
global_step=2642, episodic_return=[10.145345]
global_step=2660, episodic_return=[13.941435]
global_step=2677, episodic_return=[15.289609]
global_step=2708, episodic_return=[18.565178]
global_step=2775, episodic_return=[64.804504]
global_step=2803, episodic_return=[19.396564]
global_step=2831, episodic_return=[30.548983]
global_step=2840, episodic_return=[6.0371704]
global_step=2885, episodic_return=[65.01788]
global_step=2898, episodic_return=[9.12903]
global_step=2913, episodic_return=[13.905805]
global_step=2929, episodic_return=[13.027397]
global_step=2979, episodic_return=[43.758533]
global_step=3034, episodic_return=[77.63846]
global_step=3047, episodic_return=[10.7655325]
global_step=3065, episodic_return=[6.3251114]
global_step=3079, episodic_return=[9.265965]
global_step=3100, episodic_return=[13.634541]
global_step=3116, episodic_return=[12.509376]
global_step=3131, episodic_return=[12.068329]
global_step=3144, episodic_return=[10.899767]
global_step=3174, episodic_return=[37.540413]
global_step=3197, episodic_return=[8.284193]
global_step=3233, episodic_return=[31.746256]
global_step=3251, episodic_return=[12.003909]
global_step=3282, episodic_return=[29.846346]
global_step=3297, episodic_return=[12.018544]
global_step=3308, episodic_return=[6.980605]
global_step=3320, episodic_return=[7.6232524]
global_step=3330, episodic_return=[7.2125564]
global_step=3355, episodic_return=[9.137254]
global_step=3389, episodic_return=[41.17556]
global_step=3410, episodic_return=[15.832323]
global_step=3436, episodic_return=[25.50225]
global_step=3452, episodic_return=[10.409573]
global_step=3484, episodic_return=[18.156382]
global_step=3503, episodic_return=[14.329272]
global_step=3536, episodic_return=[47.6273]
global_step=3566, episodic_return=[18.62559]
global_step=3592, episodic_return=[19.991528]
global_step=3604, episodic_return=[10.2368965]
global_step=3619, episodic_return=[8.058982]
global_step=3630, episodic_return=[9.160836]
global_step=3640, episodic_return=[8.241337]
global_step=3661, episodic_return=[15.224772]
global_step=3676, episodic_return=[11.548958]
global_step=3700, episodic_return=[14.204977]
global_step=3720, episodic_return=[8.851936]
global_step=3738, episodic_return=[8.7653675]
global_step=3767, episodic_return=[18.40547]
global_step=3807, episodic_return=[45.44641]
global_step=3819, episodic_return=[10.778039]
global_step=3833, episodic_return=[8.269405]
global_step=3843, episodic_return=[7.090103]
global_step=3885, episodic_return=[34.597366]
global_step=3894, episodic_return=[6.8435545]
global_step=3956, episodic_return=[53.08811]
global_step=3980, episodic_return=[12.746833]
global_step=3996, episodic_return=[16.508196]
